id,formula,sources
EVODEX-F358,"{'O': -21, 'C': -24, 'H': -42}","EVODEX-P814,EVODEX-P1387"
EVODEX-F359,"{'O': -20, 'C': -24, 'H': -40}",EVODEX-P815
EVODEX-F360,"{'O': -11, 'C': -10, 'P': -2, 'N': -5, 'H': -15}","EVODEX-P819,EVODEX-P1012,EVODEX-P1473,EVODEX-P1874"
EVODEX-F361,"{'O': 7, 'C': 6, 'P': 2, 'N': 5, 'H': 9}","EVODEX-P820,EVODEX-P1143"
EVODEX-F362,"{'O': -7, 'C': -6, 'P': -2, 'N': -5, 'H': -9}","EVODEX-P825,EVODEX-P1150"
EVODEX-F363,"{'N': 2, 'S': 1, 'O': 5, 'C': 11, 'P': 1, 'H': 21}",EVODEX-P827
EVODEX-F364,"{'N': 12, 'S': 1, 'O': 26, 'C': 31, 'P': 5, 'H': 49}",EVODEX-P830
EVODEX-F365,"{'S': -1, 'O': -7, 'C': -10, 'P': -3, 'N': -6, 'H': -17}",EVODEX-P833
EVODEX-F366,"{'O': 9, 'C': 11, 'N': 1, 'H': 19}",EVODEX-P835
EVODEX-F367,"{'O': -3, 'N': -1, 'C': -5, 'P': -1, 'H': -13}","EVODEX-P837,EVODEX-P1331"
EVODEX-F368,"{'N': -3, 'O': -8, 'C': -9, 'P': -1, 'H': -14}",EVODEX-P838
EVODEX-F369,"{'O': 3, 'C': 5, 'P': 1, 'N': 1, 'H': 13}",EVODEX-P839
EVODEX-F370,"{'N': 1, 'O': 3, 'C': 13, 'P': -2, 'H': 17}",EVODEX-P847
EVODEX-F371,"{'N': 1, 'O': 10, 'C': 13, 'H': 21}",EVODEX-P849
EVODEX-F372,"{'O': -4, 'C': -23, 'N': -5, 'H': -27}",EVODEX-P851
EVODEX-F373,"{'O': 4, 'C': 23, 'N': 5, 'H': 27}",EVODEX-P853
EVODEX-F374,"{'S': 1, 'O': 6, 'C': 10, 'N': 3, 'H': 15}",EVODEX-P857
EVODEX-F375,"{'N': 3, 'S': 1, 'O': 6, 'C': 10, 'H': 16}",EVODEX-P859
EVODEX-F376,"{'O': 1, 'C': 1, 'H': 1}",EVODEX-P860
EVODEX-F377,"{'O': -4, 'C': -5, 'H': -6}","EVODEX-P874,EVODEX-P1500"
EVODEX-F378,"{'O': 4, 'C': 5, 'H': 4}",EVODEX-P877
EVODEX-F379,"{'O': -8, 'C': -11, 'N': -1, 'H': -17}",EVODEX-P881
EVODEX-F380,"{'O': 8, 'C': 11, 'N': 1, 'H': 17}",EVODEX-P883
EVODEX-F381,"{'O': -4, 'C': -20, 'N': -8, 'H': -30}",EVODEX-P887
EVODEX-F382,"{'O': 4, 'C': 20, 'N': 8, 'H': 30}",EVODEX-P889
EVODEX-F383,"{'O': -2, 'C': -2, 'H': -4}","EVODEX-P894,EVODEX-P1000,EVODEX-P1858"
EVODEX-F384,"{'O': 4, 'C': 2, 'P': 1, 'H': 7}",EVODEX-P897
EVODEX-F385,"{'O': 6, 'C': 3, 'P': 1, 'H': 7}","EVODEX-P898,EVODEX-P1846"
EVODEX-F386,"{'O': -6, 'C': -39, 'N': -5, 'H': -51}",EVODEX-P901
EVODEX-F387,"{'O': -5, 'C': -39, 'N': -5, 'H': -49}",EVODEX-P903
EVODEX-F388,"{'C': -10, 'N': -2, 'H': -12}",EVODEX-P907
EVODEX-F389,"{'S': -1, 'C': -2, 'H': -2}",EVODEX-P909
EVODEX-F390,"{'S': 1, 'C': 2, 'H': 2}",EVODEX-P911
EVODEX-F391,"{'N': 5, 'O': 7, 'C': 7, 'P': 2, 'H': 11}",EVODEX-P916
EVODEX-F392,"{'O': -11, 'C': -40, 'N': -12, 'H': -64}",EVODEX-P920
EVODEX-F393,"{'O': -4, 'C': -11, 'N': -3, 'H': -21}",EVODEX-P921
EVODEX-F394,"{'O': 11, 'C': 40, 'N': 12, 'H': 64}",EVODEX-P922
EVODEX-F395,"{'O': -3, 'C': -11, 'N': -3, 'H': -19}",EVODEX-P923
EVODEX-F396,"{'C': -3, 'N': -1, 'H': -5}","EVODEX-P925,EVODEX-P1063"
EVODEX-F397,"{'O': 3, 'C': 21, 'N': 3, 'H': 24}",EVODEX-P929
EVODEX-F398,"{'S': -1, 'O': -2, 'C': 7, 'N': -3, 'H': 4}",EVODEX-P932
EVODEX-F399,"{'O': -1, 'C': -8, 'H': -6}",EVODEX-P934
EVODEX-F400,"{'O': 3, 'C': 7, 'N': 2, 'H': 4}",EVODEX-P936
EVODEX-F401,"{'O': 4, 'C': 7, 'N': 2, 'H': 6}",EVODEX-P938
EVODEX-F402,"{'O': 3, 'C': 9, 'N': 1, 'H': 13}",EVODEX-P942
EVODEX-F403,"{'O': 3, 'C': 9, 'N': 1, 'H': 11}",EVODEX-P945
EVODEX-F404,"{'O': 2, 'C': 9, 'N': 1, 'H': 11}","EVODEX-P946,EVODEX-P1484,EVODEX-P1603,EVODEX-P1704"
EVODEX-F405,"{'O': 2, 'C': 9, 'N': 1, 'H': 9}",EVODEX-P947
EVODEX-F406,"{'O': -2, 'C': -4, 'N': -2, 'H': -6}","EVODEX-P951,EVODEX-P1896"
EVODEX-F407,"{'O': -10, 'S': -2, 'C': -27, 'N': -9, 'H': -49}",EVODEX-P957
EVODEX-F408,"{'S': 1, 'O': 4, 'C': 10, 'N': 2, 'H': 10}",EVODEX-P961
EVODEX-F409,"{'S': 1, 'O': 5, 'C': 10, 'N': 2, 'H': 12}",EVODEX-P963
EVODEX-F410,"{'O': -3, 'C': -17, 'N': -6, 'H': -30}",EVODEX-P968
EVODEX-F411,"{'O': 3, 'C': 17, 'N': 6, 'H': 30}",EVODEX-P970
EVODEX-F412,"{'S': 1, 'O': -3, 'P': -2, 'H': -2}",EVODEX-P980
EVODEX-F413,"{'S': 1, 'O': 4, 'H': 2}",EVODEX-P981
EVODEX-F414,"{'O': -1, 'C': -8, 'H': -14}",EVODEX-P983
EVODEX-F415,"{'O': 1, 'C': 8, 'H': 14}",EVODEX-P985
EVODEX-F416,"{'O': -7, 'C': -3, 'P': -1, 'H': -9}",EVODEX-P995
EVODEX-F417,"{'O': -2, 'C': -6, 'P': 1, 'H': -9}","EVODEX-P1007,EVODEX-P1255"
EVODEX-F418,"{'N': -3, 'O': -6, 'C': 1, 'P': -2, 'H': 1}",EVODEX-P1014
EVODEX-F419,"{'N': 2, 'O': 5, 'C': 11, 'H': 16}",EVODEX-P1015
EVODEX-F420,"{'S': -1, 'O': -8, 'C': -8, 'N': -1, 'H': -13}",EVODEX-P1017
EVODEX-F421,"{'S': 1, 'O': 8, 'C': 8, 'N': 1, 'H': 13}",EVODEX-P1019
EVODEX-F422,"{'N': -3, 'O': -2, 'P': -1}",EVODEX-P1024
EVODEX-F423,"{'N': 2, 'O': 8, 'C': 10, 'P': 1, 'H': 15}",EVODEX-P1026
EVODEX-F424,"{'O': -8, 'C': -5, 'P': -1, 'H': -11}",EVODEX-P1041
EVODEX-F425,"{'N': 5, 'C': 5, 'H': 3}",EVODEX-P1042
EVODEX-F426,"{'O': 6, 'P': 2, 'H': 2}",EVODEX-P1043
EVODEX-F427,"{'N': 5, 'O': -6, 'C': 5, 'P': -2, 'H': 1}",EVODEX-P1051
EVODEX-F428,"{'N': 5, 'O': 1, 'C': 5, 'H': 5}",EVODEX-P1053
EVODEX-F429,"{'C': -7, 'N': -3, 'H': -21}",EVODEX-P1055
EVODEX-F430,"{'O': 1, 'C': -7, 'N': -3, 'H': -19}",EVODEX-P1056
EVODEX-F431,"{'C': -7, 'N': -3, 'H': -19}",EVODEX-P1057
EVODEX-F432,"{'O': 1, 'C': -7, 'N': -3, 'H': -17}",EVODEX-P1061
EVODEX-F433,"{'C': -3, 'N': -1, 'H': -7}",EVODEX-P1062
EVODEX-F434,"{'C': 3, 'N': 1, 'H': 5}",EVODEX-P1065
EVODEX-F435,"{'O': 7, 'C': 9, 'P': 2, 'N': 5, 'H': 13}",EVODEX-P1071
EVODEX-F436,"{'O': 3, 'C': 1, 'H': 2}",EVODEX-P1073
EVODEX-F437,"{'O': -2, 'C': 1, 'P': -1, 'H': -1}","EVODEX-P1074,EVODEX-P1455,EVODEX-P1575"
EVODEX-F438,"{'N': -5, 'O': -7, 'C': -9, 'P': -2, 'H': -13}",EVODEX-P1076
EVODEX-F439,"{'O': -1, 'C': 3, 'P': -1, 'H': 1}",EVODEX-P1077
EVODEX-F440,"{'N': -5, 'O': -7, 'C': -7, 'P': -2, 'H': -11}","EVODEX-P1078,EVODEX-P1772"
EVODEX-F441,"{'O': 2, 'C': 3, 'H': 2}",EVODEX-P1080
EVODEX-F442,"{'O': -6, 'C': -1, 'P': -1, 'H': -3}",EVODEX-P1081
EVODEX-F443,"{'O': 12, 'C': 13, 'P': 2, 'N': 5, 'H': 17}",EVODEX-P1082
EVODEX-F444,"{'O': -10, 'C': 1, 'P': -2, 'N': -2, 'H': -2}",EVODEX-P1085
EVODEX-F445,"{'O': 2, 'C': 10, 'H': 12}",EVODEX-P1087
EVODEX-F446,"{'N': -2, 'O': -5, 'C': -9, 'H': -10}",EVODEX-P1089
EVODEX-F447,"{'O': 5, 'C': 9, 'N': 2, 'H': 10}",EVODEX-P1091
EVODEX-F448,"{'O': -7, 'C': -10, 'P': -1, 'N': -5, 'H': -12}","EVODEX-P1092,EVODEX-P1234,EVODEX-P1358,EVODEX-P1790"
EVODEX-F449,"{'O': -2, 'C': -9, 'N': -1, 'H': -11}",EVODEX-P1101
EVODEX-F450,"{'O': 1, 'C': 6, 'N': 4, 'H': 12}",EVODEX-P1102
EVODEX-F451,"{'O': -1, 'C': -9, 'N': -1, 'H': -9}","EVODEX-P1103,EVODEX-P1491"
EVODEX-F452,"{'O': -1, 'C': -6, 'N': -4, 'H': -12}","EVODEX-P1104,EVODEX-P1353"
EVODEX-F453,"{'N': -5, 'O': -4, 'C': -4, 'P': -2, 'H': -3}",EVODEX-P1109
EVODEX-F454,"{'O': -1, 'C': -24, 'H': -46}",EVODEX-P1112
EVODEX-F455,"{'O': 1, 'C': 24, 'H': 46}",EVODEX-P1114
EVODEX-F456,"{'S': -1, 'O': -13, 'C': -3, 'P': -3, 'N': -6, 'H': 3}",EVODEX-P1115
EVODEX-F457,"{'O': 3, 'C': 18, 'N': 1, 'H': 39}",EVODEX-P1116
EVODEX-F458,"{'O': -1, 'C': 1, 'H': 2}",EVODEX-P1117
EVODEX-F459,"{'S': 1, 'O': 17, 'C': 23, 'P': 3, 'N': 7, 'H': 38}",EVODEX-P1118
EVODEX-F460,"{'S': -1, 'O': -18, 'C': -25, 'P': -3, 'N': -7, 'H': -40}",EVODEX-P1121
EVODEX-F461,"{'O': -17, 'N': -7, 'S': -1, 'C': -23, 'P': -3, 'H': -38}",EVODEX-P1124
EVODEX-F462,"{'O': -1, 'C': -8, 'N': -1, 'H': -11}",EVODEX-P1135
EVODEX-F463,"{'S': -1, 'O': -5, 'C': -11, 'P': -1, 'N': -2, 'H': -21}",EVODEX-P1142
EVODEX-F464,"{'S': -1, 'O': -26, 'C': -31, 'P': -5, 'N': -12, 'H': -49}",EVODEX-P1144
EVODEX-F465,"{'S': -1, 'O': -12, 'C': -21, 'P': -2, 'N': -7, 'H': -33}",EVODEX-P1147
EVODEX-F466,"{'C': -4, 'P': 1, 'H': -3}",EVODEX-P1149
EVODEX-F467,"{'O': 7, 'C': 4, 'P': 1, 'H': 7}",EVODEX-P1152
EVODEX-F468,"{'C': -7, 'H': -6}",EVODEX-P1157
EVODEX-F469,"{'C': 6, 'N': 2, 'H': 4}",EVODEX-P1160
EVODEX-F470,"{'O': 6, 'C': 3, 'P': 1, 'H': 6}",EVODEX-P1164
EVODEX-F471,"{'O': 4, 'P': 1, 'H': 2}",EVODEX-P1166
EVODEX-F472,"{'O': 4, 'P': 1, 'H': 1}",EVODEX-P1167
EVODEX-F473,"{'N': -1, 'O': -4, 'C': -7, 'H': -10}",EVODEX-P1174
EVODEX-F474,"{'O': 4, 'C': 7, 'N': 1, 'H': 11}",EVODEX-P1176
EVODEX-F475,"{'N': 1, 'O': 4, 'C': 7, 'H': 10}",EVODEX-P1177
EVODEX-F476,"{'O': -4, 'C': -7, 'N': -1, 'H': -9}",EVODEX-P1178
EVODEX-F477,"{'N': 3, 'S': 1, 'O': 1, 'C': 19, 'P': -2, 'H': 31}","EVODEX-P1184,EVODEX-P1201"
EVODEX-F478,"{'S': 1, 'O': 11, 'C': 29, 'N': 8, 'H': 46}","EVODEX-P1186,EVODEX-P1203,EVODEX-P1382"
EVODEX-F479,"{'O': -3, 'C': -4, 'H': -5}",EVODEX-P1191
EVODEX-F480,"{'O': 1, 'C': 7, 'H': 14}",EVODEX-P1195
EVODEX-F481,"{'O': 1, 'C': 7, 'H': 12}",EVODEX-P1196
EVODEX-F482,"{'F': 1, 'O': 1, 'C': 2, 'H': 3}",EVODEX-P1206
EVODEX-F483,"{'O': 1, 'C': 2, 'H': 3}",EVODEX-P1211
EVODEX-F484,"{'S': -1, 'O': -1, 'C': -5, 'N': -1, 'H': -9}",EVODEX-P1215
EVODEX-F485,"{'S': 1, 'O': 1, 'C': 5, 'N': 1, 'H': 9}",EVODEX-P1217
EVODEX-F486,"{'O': -8, 'N': -2, 'C': 5, 'P': -2, 'H': -6}",EVODEX-P1227
EVODEX-F487,"{'O': 4, 'C': 14, 'H': 8}",EVODEX-P1228
EVODEX-F488,"{'N': -5, 'O': -10, 'C': -11, 'P': -2, 'H': -17}",EVODEX-P1231
EVODEX-F489,"{'O': 10, 'C': 11, 'P': 2, 'N': 5, 'H': 17}",EVODEX-P1233
EVODEX-F490,"{'N': 1, 'C': 8, 'H': 7}","EVODEX-P1237,EVODEX-P1691,EVODEX-P1842"
EVODEX-F491,"{'O': -7, 'C': -11, 'N': -1, 'H': -13}",EVODEX-P1241
EVODEX-F492,"{'O': -6, 'C': -11, 'N': -1, 'H': -11}",EVODEX-P1242
EVODEX-F493,"{'O': 2, 'C': 2, 'N': 1, 'H': 4}",EVODEX-P1247
EVODEX-F494,"{'S': -1, 'O': -3, 'C': -12, 'N': -5, 'H': -16}",EVODEX-P1249
EVODEX-F495,"{'O': -8, 'C': -27, 'N': -10, 'H': -40}",EVODEX-P1258
EVODEX-F496,"{'O': 8, 'C': 27, 'N': 10, 'H': 40}",EVODEX-P1260
EVODEX-F497,"{'O': 7, 'C': 15, 'N': 6, 'H': 18}",EVODEX-P1261
EVODEX-F498,"{'O': 8, 'C': 15, 'N': 6, 'H': 20}",EVODEX-P1262
EVODEX-F499,"{'N': -4, 'O': -5, 'C': -3, 'P': -2, 'H': -4}",EVODEX-P1270
EVODEX-F500,"{'N': 1, 'O': 5, 'C': 7, 'H': 11}",EVODEX-P1272
EVODEX-F501,"{'O': 6, 'C': 20, 'N': 7, 'H': 21}",EVODEX-P1276
EVODEX-F502,"{'O': 4, 'C': 5, 'H': 8}","EVODEX-P1284,EVODEX-P1289"
EVODEX-F503,"{'O': -5, 'C': 6, 'P': -2, 'N': -2, 'H': -4}",EVODEX-P1288
EVODEX-F504,"{'O': 7, 'C': 15, 'H': 10}",EVODEX-P1290
EVODEX-F505,"{'C': -6, 'N': -3, 'H': -7}",EVODEX-P1294
EVODEX-F506,"{'O': -7, 'P': -2, 'H': -3}",EVODEX-P1295
EVODEX-F507,"{'N': 1, 'S': 1, 'O': -3, 'C': 6, 'P': -1, 'H': 7}",EVODEX-P1296
EVODEX-F508,"{'C': 6, 'N': 3, 'H': 8}",EVODEX-P1297
EVODEX-F509,"{'N': 1, 'S': 1, 'O': 4, 'C': 6, 'P': 1, 'H': 11}",EVODEX-P1298
EVODEX-F510,"{'O': -3, 'C': -6, 'H': -10}",EVODEX-P1300
EVODEX-F511,"{'O': 2, 'C': -1, 'H': -4}",EVODEX-P1301
EVODEX-F512,"{'O': -2, 'C': 1, 'H': 4}",EVODEX-P1303
EVODEX-F513,"{'O': 2, 'C': 6, 'N': 1, 'H': 13}",EVODEX-P1305
EVODEX-F514,"{'O': 5, 'C': 5, 'H': 6}","EVODEX-P1306,EVODEX-P1705"
EVODEX-F515,"{'O': -6, 'C': 7, 'P': -2, 'N': -2, 'H': -2}",EVODEX-P1309
EVODEX-F516,"{'O': 6, 'C': 16, 'H': 12}",EVODEX-P1311
EVODEX-F517,"{'O': 2, 'C': -2, 'P': 1, 'H': -1}",EVODEX-P1315
EVODEX-F518,"{'O': -6, 'C': -3, 'P': -1, 'N': -1, 'H': -8}",EVODEX-P1316
EVODEX-F519,"{'O': -2, 'C': 2, 'P': -1, 'H': 1}",EVODEX-P1317
EVODEX-F520,"{'O': 7, 'C': 3, 'P': 1, 'H': 5}",EVODEX-P1319
EVODEX-F521,"{'O': -3, 'C': -5, 'H': -8}",EVODEX-P1328
EVODEX-F522,"{'O': -4, 'N': -1, 'C': -5, 'P': -1, 'H': -15}",EVODEX-P1329
EVODEX-F523,"{'O': 3, 'C': 5, 'H': 8}",EVODEX-P1330
EVODEX-F524,"{'C': 7, 'N': 3, 'H': 19}",EVODEX-P1337
EVODEX-F525,"{'O': -1, 'C': 7, 'N': 3, 'H': 17}",EVODEX-P1338
EVODEX-F526,"{'O': 9, 'C': 17, 'P': 2, 'N': 8, 'H': 32}",EVODEX-P1340
EVODEX-F527,"{'O': -4, 'C': 7, 'P': -1, 'N': 3, 'H': 16}",EVODEX-P1341
EVODEX-F528,"{'O': -10, 'C': -3, 'P': -2, 'N': -2, 'H': 4}",EVODEX-P1342
EVODEX-F529,"{'S': -1, 'O': -5, 'C': -10, 'N': -3, 'H': -15}",EVODEX-P1343
EVODEX-F530,"{'N': 3, 'S': 1, 'O': 6, 'C': 10, 'H': 17}",EVODEX-P1346
EVODEX-F531,"{'N': 3, 'S': 1, 'O': 2, 'C': 10, 'P': -1, 'H': 14}",EVODEX-P1347
EVODEX-F532,"{'S': -1, 'O': -9, 'C': -10, 'P': -1, 'N': -3, 'H': -18}",EVODEX-P1348
EVODEX-F533,"{'S': -1, 'O': 4, 'P': 2, 'N': 2, 'H': -2}",EVODEX-P1349
EVODEX-F534,"{'S': 1, 'O': 5, 'C': 10, 'N': 3, 'H': 15}",EVODEX-P1350
EVODEX-F535,"{'N': -2, 'S': 1, 'O': -4, 'P': -2, 'H': 2}",EVODEX-P1351
EVODEX-F536,"{'O': -10, 'C': -44, 'N': -11, 'H': -61}",EVODEX-P1354
EVODEX-F537,"{'O': -9, 'C': -44, 'N': -11, 'H': -59}",EVODEX-P1355
EVODEX-F538,"{'O': 7, 'C': 10, 'P': 1, 'N': 5, 'H': 12}","EVODEX-P1360,EVODEX-P1792"
EVODEX-F539,"{'O': -7, 'P': -2, 'N': -2, 'H': -4}",EVODEX-P1365
EVODEX-F540,"{'O': 5, 'C': 9, 'H': 10}",EVODEX-P1367
EVODEX-F541,"{'N': -4, 'O': -15, 'C': -34, 'H': -44}",EVODEX-P1372
EVODEX-F542,"{'O': 1, 'C': -4, 'P': 1, 'N': 2, 'H': 1}",EVODEX-P1373
EVODEX-F543,"{'O': -5, 'C': 8, 'P': -3, 'N': 1, 'H': 10}",EVODEX-P1380
EVODEX-F544,"{'O': -17, 'C': -24, 'P': 1, 'H': -39}",EVODEX-P1388
EVODEX-F545,"{'O': -2, 'C': -6, 'N': -3, 'H': -11}","EVODEX-P1398,EVODEX-P1524"
EVODEX-F546,"{'O': -2, 'C': -6, 'N': -3, 'H': -9}",EVODEX-P1404
EVODEX-F547,"{'O': 2, 'C': 6, 'N': 3, 'H': 11}","EVODEX-P1408,EVODEX-P1526"
EVODEX-F548,"{'O': -12, 'C': -18, 'P': 1, 'H': -29}",EVODEX-P1413
EVODEX-F549,"{'N': -3, 'O': -2, 'C': -4, 'H': -9}",EVODEX-P1419
EVODEX-F550,"{'N': 2, 'O': 8, 'C': 6, 'P': 2, 'H': 6}",EVODEX-P1420
EVODEX-F551,"{'O': 2, 'C': 6, 'N': 2, 'H': 6}",EVODEX-P1438
EVODEX-F552,"{'O': 2, 'C': 6, 'N': 2, 'H': 4}",EVODEX-P1439
EVODEX-F553,"{'N': -7, 'O': -6, 'C': -19, 'H': -21}",EVODEX-P1442
EVODEX-F554,"{'O': 2, 'C': -10, 'P': 1, 'N': -5, 'H': -8}",EVODEX-P1444
EVODEX-F555,"{'O': 8, 'C': 9, 'P': 1, 'N': 2, 'H': 13}",EVODEX-P1445
EVODEX-F556,"{'S': -1, 'O': -3}",EVODEX-P1447
EVODEX-F557,"{'N': -4, 'O': 2, 'C': 4, 'P': -2, 'H': 8}",EVODEX-P1449
EVODEX-F558,"{'S': 1, 'O': 3}",EVODEX-P1450
EVODEX-F559,"{'N': 1, 'O': 12, 'C': 14, 'H': 23}",EVODEX-P1451
EVODEX-F560,"{'N': 5, 'O': 12, 'C': 11, 'P': 2, 'H': 15}",EVODEX-P1456
EVODEX-F561,"{'N': -4, 'O': -1, 'C': -5, 'H': -4}",EVODEX-P1462
EVODEX-F562,"{'N': -4, 'O': 6, 'C': -5, 'P': 2}",EVODEX-P1463
EVODEX-F563,"{'O': -9, 'C': -6, 'P': -1, 'H': -12}",EVODEX-P1470
EVODEX-F564,"{'O': -9, 'C': -6, 'P': -1, 'H': -11}",EVODEX-P1471
EVODEX-F565,"{'O': 1, 'C': 12, 'P': -2, 'H': 28}",EVODEX-P1474
EVODEX-F566,"{'N': 5, 'O': 12, 'C': 22, 'H': 43}",EVODEX-P1476
EVODEX-F567,"{'O': -3, 'C': -9, 'H': -8}","EVODEX-P1478,EVODEX-P1700"
EVODEX-F568,"{'O': 1, 'C': -6, 'H': -4}",EVODEX-P1480
EVODEX-F569,"{'O': -3, 'C': -3, 'N': -1, 'H': -7}",EVODEX-P1481
EVODEX-F570,"{'O': -1, 'C': 6, 'H': 4}",EVODEX-P1482
EVODEX-F571,"{'O': 4, 'C': 3, 'H': 4}",EVODEX-P1485
EVODEX-F572,"{'O': -2, 'C': -5, 'N': -1, 'H': -9}",EVODEX-P1492
EVODEX-F573,"{'O': 1, 'C': 9, 'N': 1, 'H': 9}","EVODEX-P1493,EVODEX-P1605"
EVODEX-F574,"{'O': 1, 'C': 10, 'H': 16}",EVODEX-P1497
EVODEX-F575,"{'O': -2, 'C': -6, 'N': -2, 'H': -16}",EVODEX-P1503
EVODEX-F576,"{'N': -2, 'O': -1, 'C': -6, 'H': -13}",EVODEX-P1504
EVODEX-F577,"{'O': -1, 'C': -6, 'N': -2, 'H': -14}",EVODEX-P1505
EVODEX-F578,"{'N': -2, 'O': -2, 'C': -6, 'H': -15}",EVODEX-P1507
EVODEX-F579,"{'N': 1, 'O': 1, 'C': 5, 'H': 11}",EVODEX-P1515
EVODEX-F580,"{'O': 1, 'C': 5, 'N': 1, 'H': 10}",EVODEX-P1516
EVODEX-F581,"{'C': -2, 'N': -1, 'H': -7}",EVODEX-P1525
EVODEX-F582,"{'O': 1, 'C': -2, 'N': -1, 'H': -5}",EVODEX-P1527
EVODEX-F583,"{'S': 1, 'O': 2, 'C': 8, 'N': 1, 'H': 13}",EVODEX-P1531
EVODEX-F584,"{'S': 1, 'O': 3, 'C': 8, 'N': 1, 'H': 15}",EVODEX-P1533
EVODEX-F585,"{'O': -1, 'C': -1, 'N': -1, 'H': -1}",EVODEX-P1538
EVODEX-F586,"{'O': 1, 'C': 1, 'N': 1, 'H': 1}",EVODEX-P1540
EVODEX-F587,"{'N': 2, 'O': -2, 'C': 5, 'P': -1, 'H': 9}",EVODEX-P1541
EVODEX-F588,"{'O': 9, 'P': 3, 'H': 3}",EVODEX-P1545
EVODEX-F589,"{'N': 2, 'O': -7, 'C': 1, 'P': -2, 'H': -2}",EVODEX-P1546
EVODEX-F590,"{'O': -9, 'P': -3, 'H': -3}",EVODEX-P1547
EVODEX-F591,"{'N': 5, 'O': 4, 'C': 10, 'H': 13}",EVODEX-P1548
EVODEX-F592,"{'N': -1, 'O': -7, 'C': -5, 'P': -2, 'H': -3}",EVODEX-P1557
EVODEX-F593,"{'N': 4, 'O': 3, 'C': 5, 'H': 12}",EVODEX-P1558
EVODEX-F594,"{'N': 5, 'O': 7, 'C': 10, 'P': 1, 'H': 14}","EVODEX-P1563,EVODEX-P1882"
EVODEX-F595,"{'O': 9, 'C': 19, 'P': 1, 'N': 7, 'H': 24}",EVODEX-P1565
EVODEX-F596,"{'O': 5, 'C': 19, 'N': 7, 'H': 21}",EVODEX-P1569
EVODEX-F597,"{'O': -11, 'C': -11, 'P': -2, 'N': -5, 'H': -15}",EVODEX-P1570
EVODEX-F598,"{'N': 7, 'O': 2, 'C': 19, 'P': -1, 'H': 20}",EVODEX-P1571
EVODEX-F599,"{'N': 2, 'O': -4, 'C': 9, 'P': -2, 'H': 8}",EVODEX-P1573
EVODEX-F600,"{'N': -5, 'O': -8, 'C': -9, 'P': -2, 'H': -13}",EVODEX-P1576
EVODEX-F601,"{'O': 2, 'C': -1, 'P': 1, 'H': 1}",EVODEX-P1578
EVODEX-F602,"{'O': -6, 'N': -1, 'C': -5, 'P': -1, 'H': -14}",EVODEX-P1582
EVODEX-F603,"{'O': -5, 'N': -1, 'C': -5, 'P': -1, 'H': -12}",EVODEX-P1583
EVODEX-F604,"{'O': 1, 'C': 9, 'N': 1, 'H': 11}",EVODEX-P1604
EVODEX-F605,"{'O': 2, 'C': 9, 'N': 1, 'H': 13}",EVODEX-P1607
EVODEX-F606,"{'O': -7, 'C': -10, 'P': -1, 'N': -2, 'H': -13}",EVODEX-P1617
EVODEX-F607,"{'N': 2, 'O': 7, 'C': 10, 'P': 1, 'H': 13}",EVODEX-P1619
EVODEX-F608,"{'C': -10, 'N': -1, 'H': -9}",EVODEX-P1623
EVODEX-F609,"{'O': 4, 'C': 12, 'N': 2, 'H': 14}",EVODEX-P1624
EVODEX-F610,"{'O': 1, 'C': -10, 'N': -1, 'H': -7}",EVODEX-P1625
EVODEX-F611,"{'O': -4, 'C': -12, 'N': -2, 'H': -14}",EVODEX-P1626
EVODEX-F612,"{'O': -4, 'C': -4, 'P': -1, 'H': -11}",EVODEX-P1629
EVODEX-F613,"{'O': 4, 'C': 6, 'N': 2, 'H': 2}","EVODEX-P1630,EVODEX-P1802"
EVODEX-F614,"{'O': -3, 'C': -4, 'P': -1, 'H': -9}",EVODEX-P1631
EVODEX-F615,"{'O': -4, 'C': -6, 'N': -2, 'H': -2}","EVODEX-P1632,EVODEX-P1800"
EVODEX-F616,"{'O': 2, 'C': 7, 'N': 2, 'H': 10}",EVODEX-P1636
EVODEX-F617,"{'O': -2, 'C': -7, 'N': -2, 'H': -10}",EVODEX-P1638
EVODEX-F618,"{'O': -8, 'C': -9, 'H': -14}",EVODEX-P1641
EVODEX-F619,"{'O': 8, 'C': 9, 'H': 14}",EVODEX-P1643
EVODEX-F620,"{'N': -1, 'O': -3, 'C': -4, 'H': -6}",EVODEX-P1655
EVODEX-F621,"{'N': -2, 'O': -14, 'C': -22, 'H': -36}",EVODEX-P1658
EVODEX-F622,"{'O': 14, 'C': 22, 'N': 2, 'H': 36}",EVODEX-P1660
EVODEX-F623,"{'N': -2, 'O': -11, 'C': -2, 'P': -2, 'H': -6}",EVODEX-P1661
EVODEX-F624,"{'C': 9, 'H': 9}",EVODEX-P1666
EVODEX-F625,"{'O': -1, 'C': 9, 'H': 7}",EVODEX-P1668
EVODEX-F626,"{'O': -1, 'C': 9, 'H': 8}",EVODEX-P1670
EVODEX-F627,"{'O': -1, 'H': 1}",EVODEX-P1671
EVODEX-F628,"{'C': 9, 'H': 10}",EVODEX-P1673
EVODEX-F629,"{'N': -2, 'O': -6, 'C': -1, 'P': -2, 'H': -2}",EVODEX-P1679
EVODEX-F630,"{'N': 3, 'O': 4, 'C': 9, 'H': 13}",EVODEX-P1680
EVODEX-F631,"{'N': -1, 'O': -9, 'C': -8, 'P': -1, 'H': -16}",EVODEX-P1682
